Date,Open,High,Low,Close,Volume
12/31/24, 138.03, 138.07, 133.83, 134.29, 155659203
12/30/24, 134.83, 140.27, 134.02, 137.49, 167734703
12/27/24, 138.55, 139.02, 134.71, 137.01, 170582594
12/26/24, 139.70, 140.85, 137.73, 139.93, 116519102
12/24/24, 140.00, 141.90, 138.65, 140.22, 105157000
12/23/24, 136.28, 139.79, 135.1201, 139.67, 176053500
12/20/24, 129.81, 135.28, 128.22, 134.70, 306528594
12/19/24, 131.76, 134.03, 129.55, 130.68, 209719203
12/18/24, 133.86, 136.70, 128.28, 128.91, 277444500
12/17/24, 129.09, 131.59, 126.86, 130.39, 259410297
12/16/24, 134.18, 134.40, 130.42, 132.00, 237951109
12/13/24, 138.94, 139.60, 132.54, 134.25, 231514891
12/12/24, 137.08, 138.44, 135.80, 137.34, 159211391
12/11/24, 137.36, 140.17, 135.21, 139.31, 184905203
12/10/24, 139.01, 141.82, 133.79, 135.07, 210020891
12/09/24, 138.97, 139.95, 137.13, 138.81, 189308609
12/06/24, 144.60, 145.70, 141.31, 142.44, 188505594
12/05/24, 145.11, 146.54, 143.95, 145.06, 172621203
12/04/24, 141.995, 145.79, 140.29, 145.14, 231224297
12/03/24, 138.26, 140.54, 137.95, 140.26, 164414000
12/02/24, 138.83, 140.45, 137.825, 138.63, 171682797
11/29/24, 136.78, 139.35, 136.05, 138.25, 141863203
11/27/24, 135.01, 137.22, 131.80, 135.34, 226370891
11/26/24, 137.70, 139.30, 135.67, 136.92, 190287703
11/25/24, 141.99, 142.05, 135.82, 136.02, 344941875
11/22/24, 145.93, 147.16, 141.10, 141.95, 236406203
11/21/24, 149.35, 152.89, 140.70, 146.67, 400946594
11/20/24, 147.41, 147.56, 142.73, 145.89, 309871719
11/19/24, 141.32, 147.13, 140.99, 147.01, 227834891
11/18/24, 139.50, 141.55, 137.15, 140.15, 221866000
11/15/24, 144.87, 145.24, 140.08, 141.98, 250132891
11/14/24, 147.64, 149.00, 145.55, 146.76, 194463297
11/13/24, 149.07, 149.33, 145.90, 146.27, 191903297
11/12/24, 146.78, 149.65, 146.01, 148.29, 198634703
11/11/24, 148.68, 148.85, 143.57, 145.26, 182325594
11/08/24, 148.77, 149.77, 146.26, 147.63, 175665797
11/07/24, 146.39, 148.93, 146.17, 148.88, 207323297
11/06/24, 142.96, 146.49, 141.96, 145.61, 242043906
11/05/24, 137.45, 140.3701, 137.33, 139.91, 160537406
11/04/24, 137.21, 138.96, 135.57, 136.05, 187528188
11/01/24, 134.70, 137.31, 134.57, 135.40, 207127812
10/31/24, 137.60, 137.61, 132.1106, 132.76, 270039625
10/30/24, 139.54, 140.33, 136.81, 139.335, 179418094
10/29/24, 140.285, 142.2598, 138.90, 141.25, 157593594
10/28/24, 143.00, 143.14, 140.05, 140.52, 173586703
10/25/24, 140.93, 144.13, 140.80, 141.54, 205122094
10/24/24, 140.82, 141.35, 138.46, 140.41, 172354891
10/23/24, 142.03, 142.43, 137.46, 139.56, 285929969
10/22/24, 142.91, 144.42, 141.78, 143.59, 226311594
10/21/24, 138.13, 143.71, 138.00, 143.71, 264554500
10/18/24, 138.665, 138.90, 137.28, 138.00, 176090203
10/17/24, 139.34, 140.89, 136.87, 136.93, 306435906
10/16/24, 133.98, 136.62, 131.58, 135.72, 264879688
10/15/24, 137.87, 138.57, 128.74, 131.60, 377831000
10/14/24, 136.47, 139.60, 136.30, 138.07, 232347703
10/11/24, 134.01, 135.78, 133.66, 134.80, 170209500
10/10/24, 131.91, 135.00, 131.00, 134.81, 242311297
10/09/24, 134.11, 134.52, 131.38, 132.65, 246191594
10/08/24, 130.26, 133.48, 129.42, 132.89, 285722500
10/07/24, 124.99, 130.64, 124.95, 127.72, 346250219
10/04/24, 124.94, 125.04, 121.83, 124.92, 244465594
