Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-01-03,178.2703094482422,179.12244407617163,174.05867174915193,174.17620137564992,104487900
2022-01-04,176.00778198242188,179.18121654083714,175.43969718796814,178.87758836256972,99310400
2022-01-05,171.3260040283203,176.46813489136744,171.05175824457976,175.9196433238863,94537600
2022-01-06,168.46600341796875,171.69820298422886,168.11339955718992,169.15161788468467,96904000
2022-01-07,168.63250732421875,170.56203191509988,167.51593093187975,169.33771503993543,86709100
2022-01-10,168.652099609375,168.95572780142643,164.7146923768041,165.60599864366586,106765600
2022-01-11,171.4827117919922,171.58064816981238,167.31024547595837,168.77942565072325,76138300
2022-01-12,171.9234619140625,173.53955411934612,171.22805833783443,172.50133585944042,74805200
2022-01-13,168.652099609375,172.9910714162829,168.26030924441002,172.16833406776786,84505800
2022-01-14,169.51400756835938,170.20941111487983,167.57467907053888,167.81954242119846,80440800
2022-01-18,166.3112335205078,168.994926968818,165.92924719306995,167.9860909003212,90956700
2022-01-19,162.81454467773438,167.56489994287205,162.53050974989438,166.50708841129685,94815000
2022-01-20,161.12991333007812,166.19368686782633,160.80669183465463,163.54916502241554,91420500
2022-01-21,159.07302856445312,162.9124840575923,158.96528809380473,161.0417244969125,122848900
2022-01-24,158.29925537109375,158.9652914615593,151.5214395660685,156.73213888196668,162294600
2022-01-25,156.49705505371094,159.41582185177984,153.79376918824497,155.71348938472497,115798400
2022-01-26,156.40892028808594,161.01234841002858,154.57734716045317,160.14063545703362,108275300
2022-01-27,155.9485626220703,160.47363228871149,155.02787408749768,159.11219273840805,121954600
2022-01-28,166.83029174804688,166.8498849998228,159.45500918063075,162.30522203050273,179935700
2022-01-31,171.18887329101562,171.4043542462614,166.02714940989443,166.66380312140188,115541600
2022-02-01,171.0223388671875,171.2476089382928,168.7695933203212,170.43466091747592,86213900
2022-02-02,172.22708129882812,172.26626780396012,169.7686586589768,171.15948068570833,84914300
2022-02-03,169.34751892089844,172.61890525422228,168.5835463199836,170.89505737911136,89418100
2022-02-04,169.06309509277344,170.74010088602927,167.3860892995176,168.3667905913057,82465400
2022-02-07,168.34716796875,170.59296708423147,167.65086354740316,169.52400639061884,77251200
2022-02-08,171.4560089111328,171.9659777736799,168.12161553517308,168.41582891603926,74829200
2022-02-09,172.87803649902344,173.2408912177467,171.524663818335,172.65247937368048,71285000
2022-02-10,168.79830932617188,172.09346641687537,168.23931734555768,170.77933021680633,90865900
2022-02-11,165.3854522705078,169.73976805864703,164.7970255558841,169.00424214752385,98670700
2022-02-14,165.620849609375,166.3073375649639,163.34561528306318,164.1399809862671,86185500
2022-02-15,169.4553680419922,169.61228383864895,166.96439336840055,167.670499489042,62527400
2022-02-16,169.22003173828125,169.99477926994211,166.76827820676257,168.5335437423192,61177400
2022-02-17,165.620849609375,168.59237351767158,165.21875846241755,167.7293515367512,69589300
2022-02-18,164.07131958007812,167.24878200376986,162.98274061084325,166.5426908818598,82772700
2022-02-22,161.14883422851562,163.47309136847835,159.0206993785114,161.79608567118115,91162800
2022-02-23,156.98086547851562,162.94351625967545,156.6670338772365,162.34528786351217,90009200
2022-02-24,159.59933471679688,159.70721245821238,149.06659738297807,149.63540593186767,141147500
2022-02-25,161.66859436035156,161.93337290276583,157.76539291737205,160.6780765984275,91974200
2022-02-28,161.9333953857422,162.22760877136363,159.2953064697166,159.91315308309024,95056600
2022-03-01,160.05047607421875,163.38487003337303,158.8442174624351,161.52152827152648,83474400
2022-03-02,163.34559631347656,164.13016029917193,159.8052642347465,161.21747641613547,79724800
2022-03-03,163.02197265625,165.65025991761865,162.35510295615475,165.21874895199736,76678400
2022-03-04,160.02102661132812,162.35510045432284,158.9716840195684,161.3155594882437,83737200
2022-03-07,156.22573852539062,161.83535182075346,155.97074658012755,160.2073838791356,96418800
2022-03-08,154.4015655517578,159.73658130717936,152.79321653410656,155.7549377003299,131148300
2022-03-09,159.80528259277344,160.2564117997747,156.33360638496927,158.36365040568722,91454900
2022-03-10,155.4607696533203,157.29467624132576,152.96978004521466,157.10834060556428,105342000
2022-03-11,151.7439422607422,156.20613717728514,151.51838510076294,155.86288565896737,96970100
2022-03-14,147.7132110595703,151.14566528522778,147.2032572060636,148.52719485737234,108732100
2022-03-15,152.09695434570312,152.56770172333492,147.47785980558257,147.9878136848799,92964300
2022-03-16,156.51010131835938,156.9121924028267,151.47911432517643,154.01912684826212,102300200
2022-03-17,157.520263671875,157.8929350151505,154.5879758844706,155.54905912498893,75615400
2022-03-18,160.81546020507812,161.30581105394714,156.67689784347786,157.4124241167814,123511700
2022-03-21,162.18838500976562,163.13966646337798,159.8641127641069,160.3544634117704,95811400
2022-03-22,165.56202697753906,166.1504388725233,161.72748069331104,162.31589258829527,81532000
2022-03-23,166.92520141601562,169.30829877130867,164.41459311854004,164.7480429864726,98062700
2022-03-24,170.71066284179688,170.77930414345957,166.92515566056534,167.7587426911126,90131400
2022-03-25,171.34811401367188,171.8973042886656,169.41613146208226,170.5243286011813,80546200
2022-03-28,172.21116638183594,172.33864738407132,168.68063546771577,168.84735290472764,90371900
2022-03-29,175.50631713867188,175.55534023387025,172.93686947046768,173.28012092274494,100589400
2022-03-30,174.3392333984375,176.14371977574632,173.28987607070127,175.10417903586864,92633200
2022-03-31,171.24021911621094,174.59421507165519,171.03426530157952,174.40787946896754,103049300
2022-04-01,170.94607543945312,171.5050824752612,168.6218176816175,170.6714802176125,78751300
2022-04-04,174.996337890625,175.04537594723365,171.07353279095375,171.2010287452735,76468400
2022-04-05,171.6815948486328,174.85907295980758,171.0539465140656,174.07450880051937,73401800
2022-04-06,168.51393127441406,170.27919687020847,166.84674180895354,169.03370184368734,89058800
2022-04-07,168.8179168701172,170.01437362269277,166.5721175347958,167.8568338106809,77594700
2022-04-08,166.8074951171875,168.46488285345913,165.9346714824091,168.46488285345913,76575500
2022-04-11,162.55125427246094,165.76795361235142,162.3060789266503,165.45413695115786,72246700
2022-04-12,164.42437744140625,166.59171885387798,163.4240579625581,164.77743049486364,79265200
2022-04-13,167.1115264892578,167.73917483894797,163.55159028656504,164.15962041661322,70618900
2022-04-14,162.10012817382812,167.96473333287506,161.85495282329552,167.32726844290085,75329400
2022-04-18,161.88436889648438,163.38484067093813,160.41331696354428,160.75655343597518,69023900
2022-04-19,164.16940307617188,164.5813108194766,160.74676487778993,161.83534399523174,67723800
2022-04-20,164.002685546875,165.62085178233113,162.89450317699752,165.50315744246095,67929800
2022-04-21,163.20831298828125,168.21969736612456,162.70816069883412,165.65026467883652,87227800
2022-04-22,158.66769409179688,164.6303611950783,158.38329723215043,163.24758340946244,84882400
2022-04-25,159.73663330078125,160.0210300948507,155.40193532965264,158.01058942731927,96046400
2022-04-26,153.77398681640625,159.20706614015833,153.69552890649263,159.11880660312406,95623200
2022-04-27,153.54843139648438,156.70627626102967,152.38139429047249,152.90116485569044,88063200
2022-04-28,160.48196411132812,161.3449860653006,155.862854289535,156.17668589618484,130216800
2022-04-29,154.60757446289062,162.9925746827483,154.21529987659397,158.71671584912355,131747600
2022-05-02,154.91159057617188,155.17636916422146,150.31209888761785,153.68571389859628,123055300
2022-05-03,156.40220642089844,157.60847954190055,153.30320233396515,155.09787216899534,88966500
2022-05-04,162.8160400390625,163.26715427373458,156.18648942865437,156.58858056796436,108256500
2022-05-05,153.7445526123047,160.91347698312873,151.9596689981739,160.68791986588977,130525300
2022-05-06,154.4713134765625,156.59274408051633,151.42666686979732,153.223988771511,116124600
2022-05-09,149.3445281982422,153.04720818256274,148.78471498335946,152.16327128379606,131577900
2022-05-10,151.75076293945312,153.94095050381605,150.19897670016442,152.7427360024197,115366700
2022-05-11,143.88385009765625,152.67402087769284,143.20616949802272,150.7588463480562,142689800
2022-05-12,140.01419067382812,143.58918770892123,136.32134136947613,140.22044713133192,182602000
2022-05-13,144.48294067382812,145.45526685384394,140.55437184575726,142.00793811597927,113990900
2022-05-16,142.94097900390625,144.88563148350204,141.6052649207857,142.95081001781338,86643800
2022-05-17,146.57492065429688,147.09545486873625,144.06062380512492,146.2017017887358,78336300
2022-05-18,138.3052520751953,144.728454553279,137.40166819210114,144.22756749777338,109742900
2022-05-19,134.8972625732422,139.13029385475133,134.1606557844978,137.38208160836896,136095600
2022-05-20,135.1329345703125,138.1873972505803,130.2418708685785,136.60614779257094,137426100
2022-05-23,140.5543670654297,140.70168239695178,135.19186420352216,135.3293635083762,117726300
2022-05-24,137.85348510742188,139.43473470985077,134.87759532556828,138.29544611720485,104132700
2022-05-25,138.01060485839844,139.25791446992204,135.86952739968447,135.95791658734237,92482700
2022-05-26,141.21240234375,141.76239957025606,134.69097882633443,134.93651437290322,90601500
2022-05-27,146.96775817871094,147.00703727273068,142.66597054796807,142.79365382955837,90978500
2022-05-31,146.1820526123047,147.9695587462053,144.21776806233134,146.40795612568894,103718400
2022-06-01,146.05435180664062,149.0302410387393,145.04273170111645,147.22308826530934,74286600
2022-06-02,148.50973510742188,148.5686612441736,144.23741035730646,145.19008953159607,72348100
2022-06-03,142.78382873535156,145.32757327458623,141.8802597672709,144.27667399411106,88570300
2022-06-06,143.53024291992188,145.9168559663355,142.31238134609404,144.4043487713543,71598400
2022-06-07,146.05435180664062,146.3391664090359,141.5266763270165,141.77221184112562,67808200
2022-06-08,145.3177947998047,147.19367537745603,144.82672360419159,145.92671828674779,53950200
2022-06-09,140.09275817871094,145.30793069054988,139.98472194082933,144.45347180040457,69473000
2022-06-10,134.68118286132812,138.24634933788164,134.61242570462275,137.77492521441144,91437900
