ID,Date,Element,Data_Value,M_Flag,Q_Flag,S_Flag,Obs_Time
USW00094728,2022-01-01,TMAX,133,,,W,2400.0
USW00094728,2022-01-02,TMAX,150,,,W,2400.0
USW00094728,2022-01-03,TMAX,28,,,W,2400.0
USW00094728,2022-01-04,TMAX,11,,,W,2400.0
USW00094728,2022-01-05,TMAX,83,,,W,2400.0
USW00094728,2022-01-06,TMAX,50,,,W,2400.0
USW00094728,2022-01-07,TMAX,11,,,W,2400.0
USW00094728,2022-01-08,TMAX,-10,,,W,2400.0
USW00094728,2022-01-09,TMAX,44,,,W,2400.0
USW00094728,2022-01-10,TMAX,44,,,W,2400.0
USW00094728,2022-01-11,TMAX,-43,,,W,2400.0
USW00094728,2022-01-12,TMAX,44,,,W,2400.0
USW00094728,2022-01-13,TMAX,89,,,W,2400.0
USW00094728,2022-01-14,TMAX,61,,,W,2400.0
USW00094728,2022-01-15,TMAX,-60,,,W,2400.0
USW00094728,2022-01-16,TMAX,28,,,W,2400.0
USW00094728,2022-01-17,TMAX,67,,,W,2400.0
USW00094728,2022-01-18,TMAX,22,,,W,2400.0
USW00094728,2022-01-19,TMAX,94,,,W,2400.0
USW00094728,2022-01-20,TMAX,78,,,W,2400.0
USW00094728,2022-01-21,TMAX,-55,,,W,2400.0
USW00094728,2022-01-22,TMAX,-16,,,W,2400.0
USW00094728,2022-01-23,TMAX,28,,,W,2400.0
USW00094728,2022-01-24,TMAX,22,,,W,2400.0
USW00094728,2022-01-25,TMAX,56,,,W,2400.0
USW00094728,2022-01-26,TMAX,-21,,,W,2400.0
USW00094728,2022-01-27,TMAX,0,,,W,2400.0
USW00094728,2022-01-28,TMAX,0,,,W,2400.0
USW00094728,2022-01-29,TMAX,-16,,,W,2400.0
USW00094728,2022-01-30,TMAX,-32,,,W,2400.0
USW00094728,2022-01-31,TMAX,-5,,,W,2400.0
USW00094728,2022-02-01,TMAX,22,,,W,2400.0
USW00094728,2022-02-02,TMAX,83,,,W,2400.0
USW00094728,2022-02-03,TMAX,111,,,W,2400.0
USW00094728,2022-02-04,TMAX,139,,,W,2400.0
USW00094728,2022-02-05,TMAX,-27,,,W,2400.0
USW00094728,2022-02-06,TMAX,-10,,,W,2400.0
USW00094728,2022-02-07,TMAX,28,,,W,2400.0
USW00094728,2022-02-08,TMAX,72,,,W,2400.0
USW00094728,2022-02-09,TMAX,78,,,W,2400.0
USW00094728,2022-02-10,TMAX,122,,,W,2400.0
USW00094728,2022-02-11,TMAX,139,,,W,2400.0
USW00094728,2022-02-12,TMAX,150,,,W,2400.0
USW00094728,2022-02-13,TMAX,56,,,W,2400.0
USW00094728,2022-02-14,TMAX,-38,,,W,2400.0
USW00094728,2022-02-15,TMAX,-10,,,W,2400.0
USW00094728,2022-02-16,TMAX,94,,,W,2400.0
USW00094728,2022-02-17,TMAX,200,,,W,2400.0
USW00094728,2022-02-18,TMAX,172,,,W,2400.0
USW00094728,2022-02-19,TMAX,44,,,W,2400.0
USW00094728,2022-02-20,TMAX,22,,,W,2400.0
USW00094728,2022-02-21,TMAX,128,,,W,2400.0
USW00094728,2022-02-22,TMAX,161,,,W,2400.0
USW00094728,2022-02-23,TMAX,200,,,W,2400.0
USW00094728,2022-02-24,TMAX,17,,,W,2400.0
